"Day","Items","Note","Amount"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"89","Salary Expense","Cash Payment - Salary Expense","25738"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15879","200"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 16050","300"
"89","Rental Expense","Cash Payment - RentalNew York","8040"
"89","Rental Expense","Cash Payment - RentalDetroit","1200"
"89","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"89","Rental Expense","Cash Payment - RentalChicago","1480"
"89","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"89","Rental Expense","Cash Payment - RentalMiami","1200"
"88","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"88","Salary Expense","Cash Payment - Salary Expense","25738"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15857","300"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15869","200"
"88","Rental Expense","Cash Payment - RentalNew York","8040"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","255"
"88","Rental Expense","Cash Payment - RentalDetroit","1200"
"88","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"88","Rental Expense","Cash Payment - RentalChicago","1480"
"88","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"88","Rental Expense","Cash Payment - RentalMiami","1200"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"87","Salary Expense","Cash Payment - Salary Expense","25352"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15500","200"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15675","200"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15684","200"
"87","Rental Expense","Cash Payment - RentalNew York","8040"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","267"
"87","Rental Expense","Cash Payment - RentalDetroit","1200"
"87","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"87","Rental Expense","Cash Payment - RentalChicago","1480"
"87","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"87","Rental Expense","Cash Payment - RentalMiami","1200"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"86","Salary Expense","Cash Payment - Salary Expense","25352"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15446","200"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15482","100"
"86","Rental Expense","Cash Payment - RentalNew York","8040"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","276"
"86","Rental Expense","Cash Payment - RentalDetroit","1200"
"86","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"86","Rental Expense","Cash Payment - RentalChicago","1480"
"86","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"86","Rental Expense","Cash Payment - RentalMiami","1200"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"85","Salary Expense","Cash Payment - Salary Expense","25868"
"85","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15225","100"
"85","Rental Expense","Cash Payment - RentalNew York","8040"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","282"
"85","Rental Expense","Cash Payment - RentalDetroit","1200"
"85","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"85","Rental Expense","Cash Payment - RentalChicago","1480"
"85","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"85","Rental Expense","Cash Payment - RentalMiami","1200"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"84","Salary Expense","Cash Payment - Salary Expense","26218"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14864","200"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15061","300"
"84","Rental Expense","Cash Payment - RentalNew York","8040"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","792"
"84","Rental Expense","Cash Payment - RentalDetroit","1200"
"84","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"84","Rental Expense","Cash Payment - RentalChicago","1480"
"84","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"84","Rental Expense","Cash Payment - RentalMiami","1200"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"83","Salary Expense","Cash Payment - Salary Expense","26643"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14644","300"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14826","200"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14846","200"
"83","Rental Expense","Cash Payment - RentalNew York","8040"
"83","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","798"
"83","Rental Expense","Cash Payment - RentalDetroit","1200"
"83","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"83","Rental Expense","Cash Payment - RentalChicago","1480"
"83","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"83","Rental Expense","Cash Payment - RentalMiami","1200"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"82","Salary Expense","Cash Payment - Salary Expense","26643"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14442","100"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14420","300"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13405","100"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13203","100"
"82","Rental Expense","Cash Payment - RentalNew York","8040"
"82","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","810"
"82","Rental Expense","Cash Payment - RentalDetroit","1200"
"82","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"82","Rental Expense","Cash Payment - RentalChicago","1480"
"82","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"82","Rental Expense","Cash Payment - RentalMiami","1200"
"81","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"81","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"81","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"81","Salary Expense","Cash Payment - Salary Expense","26643"
"81","Rental Expense","Cash Payment - RentalNew York","8040"
"81","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","822"
"81","Rental Expense","Cash Payment - RentalDetroit","1200"
"81","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"81","Rental Expense","Cash Payment - RentalChicago","1480"
"81","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"81","Rental Expense","Cash Payment - RentalMiami","1200"
"80","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"80","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"80","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"80","Salary Expense","Cash Payment - Salary Expense","26643"
"80","Rental Expense","Cash Payment - RentalNew York","8040"
"80","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","822"
"80","Rental Expense","Cash Payment - RentalDetroit","1200"
"80","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"80","Rental Expense","Cash Payment - RentalChicago","1480"
"80","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"80","Rental Expense","Cash Payment - RentalMiami","1200"
"79","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"79","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"79","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"79","Salary Expense","Cash Payment - Salary Expense","25668"
"79","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13813","200"
"79","Shipping Expense","Cash Payment - Move Stock ID: 13601","10775"
"79","Rental Expense","Cash Payment - RentalNew York","8040"
"79","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","822"
"79","Rental Expense","Cash Payment - RentalDetroit","1200"
"79","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"79","Rental Expense","Cash Payment - RentalChicago","1480"
"79","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"79","Rental Expense","Cash Payment - RentalMiami","1200"
"78","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"78","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"78","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"78","Salary Expense","Cash Payment - Salary Expense","25668"
"78","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13788","200"
"78","Rental Expense","Cash Payment - RentalNew York","8040"
"78","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","825"
"78","Rental Expense","Cash Payment - RentalDetroit","1200"
"78","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"78","Rental Expense","Cash Payment - RentalChicago","1480"
"78","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"78","Rental Expense","Cash Payment - RentalMiami","1200"
"77","Human Resource Expense","Counselled","2000"
"77","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"77","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"77","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"77","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"77","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"77","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"77","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"77","Salary Expense","Cash Payment - Salary Expense","25668"
"77","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13009","300"
"77","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13615","100"
"77","Rental Expense","Cash Payment - RentalNew York","8040"
"77","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","828"
"77","Rental Expense","Cash Payment - RentalDetroit","1200"
"77","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"77","Rental Expense","Cash Payment - RentalChicago","1480"
"77","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"77","Rental Expense","Cash Payment - RentalMiami","1200"
"76","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"76","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"76","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"76","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"76","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"76","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"76","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"76","Salary Expense","Cash Payment - Salary Expense","26159"
"76","Rental Expense","Cash Payment - RentalNew York","8040"
"76","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","840"
"76","Rental Expense","Cash Payment - RentalDetroit","1200"
"76","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"76","Rental Expense","Cash Payment - RentalChicago","1480"
"76","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"76","Rental Expense","Cash Payment - RentalMiami","1200"
"75","Human Resource Expense","Attended Training","15000"
"75","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"75","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"75","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"75","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"75","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"75","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"75","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"75","Salary Expense","Cash Payment - Salary Expense","26159"
"75","Rental Expense","Cash Payment - RentalNew York","8040"
"75","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","738"
"75","Rental Expense","Cash Payment - RentalDetroit","1200"
"75","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"75","Rental Expense","Cash Payment - RentalChicago","1480"
"75","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"75","Rental Expense","Cash Payment - RentalMiami","1200"
"74","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"74","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"74","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"74","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"74","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"74","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"74","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"74","Salary Expense","Cash Payment - Salary Expense","26545"
"74","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12828","200"
"74","Rental Expense","Cash Payment - RentalNew York","8040"
"74","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","729"
"74","Rental Expense","Cash Payment - RentalDetroit","1200"
"74","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"74","Rental Expense","Cash Payment - RentalChicago","1480"
"74","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"74","Rental Expense","Cash Payment - RentalMiami","1200"
"73","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"73","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"73","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"73","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"73","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"73","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"73","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"73","Salary Expense","Cash Payment - Salary Expense","26545"
"73","Rental Expense","Cash Payment - RentalNew York","8040"
"73","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","723"
"73","Rental Expense","Cash Payment - RentalDetroit","1200"
"73","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"73","Rental Expense","Cash Payment - RentalChicago","1480"
"73","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"73","Rental Expense","Cash Payment - RentalMiami","1200"
"72","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"72","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"72","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"72","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"72","Salary Expense","Cash Payment - Salary Expense","27263"
"72","Rental Expense","Cash Payment - RentalNew York","8040"
"72","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","711"
"72","Rental Expense","Cash Payment - RentalDetroit","1200"
"72","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"72","Rental Expense","Cash Payment - RentalChicago","1480"
"72","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"72","Rental Expense","Cash Payment - RentalMiami","1200"
"71","Human Resource Expense","Counselled","2000"
"71","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"71","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"71","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"71","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"71","Salary Expense","Cash Payment - Salary Expense","27263"
"71","Rental Expense","Cash Payment - RentalNew York","8040"
"71","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","705"
"71","Rental Expense","Cash Payment - RentalDetroit","1200"
"71","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"71","Rental Expense","Cash Payment - RentalChicago","1480"
"71","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"71","Rental Expense","Cash Payment - RentalMiami","1200"
"70","Human Resource Expense","Attended Training","15000"
"70","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"70","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"70","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"70","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","100"
"70","Salary Expense","Cash Payment - Salary Expense","27263"
"70","Rental Expense","Cash Payment - RentalNew York","8040"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","699"
"70","Rental Expense","Cash Payment - RentalDetroit","1200"
"70","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"70","Rental Expense","Cash Payment - RentalChicago","1480"
"70","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"70","Rental Expense","Cash Payment - RentalMiami","1200"
"69","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"69","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"69","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
